企业 id,开始经�?开始时�?开始纬�?用户id,结束经度,结束纬度,结束时间,,,
-,113.8366629,"	2021-08-31 01:12:29.0",22.7563732,ee58de25ae1c81327ef342**********,113.8340425,22.76147691,"	2021-08-31 01:18:05.0"
-,113.899483,"	2021-08-31 01:12:28.0",22.7307992,6df14e1849bb739913aabb**********,113.8920081,22.73057013,"	2021-08-31 01:19:40.0"
-,113.8926527,"	2021-08-31 01:12:26.0",22.5958697,dde14766f857fc02180d88**********,113.8419933,22.75508933,"	2021-08-31 01:22:42.0"
-,113.8084785,"	2021-08-31 01:12:26.0",22.7638862,9141167cef1f62e2cfee58**********,113.8070136,22.76539529,"	2021-08-31 01:16:53.0"
-,113.8420321,"	2021-08-31 01:12:14.0",22.7641235,622fcc2f11657265dd68ac**********,113.8447865,22.76537948,"	2021-08-31 01:21:21.0"
-,113.8401568,"	2021-08-31 01:12:12.0",22.6198088,3a3492aeb00ee70aa9fa46**********,113.8334932,22.62191091,"	2021-08-31 01:21:19.0"
-,113.8483176,"	2021-08-31 01:12:05.0",22.6271332,84d95193a836fceafbf667**********,113.8497464,22.62511416,"	2021-08-31 01:15:40.0"
-,113.9049325,"	2021-08-31 01:12:03.0",22.5681695,f685b41e6ce96e103620a2**********,113.816078,22.77160927,"	2021-08-31 01:14:06.0"
-,113.857905,"	2021-08-31 01:12:02.0",22.7656239,139869905e44ce94d53697**********,113.8636369,22.76545787,"	2021-08-31 01:16:42.0"
-,113.8362633,"	2021-08-31 01:12:01.0",22.7729172,16a4f5b043afdd2a3756a6**********,113.8375361,22.77954072,"	2021-08-31 01:17:44.0"
-,113.8876042,"	2021-08-31 01:12:00.0",22.5553217,b57d978d16d5d8da8bcaa9**********,113.882468,22.56426368,"	2021-08-31 01:19:19.0"
-,114.1239339,"	2021-08-31 01:11:56.0",22.5516946,9c60bb6d4597f7ec2d8fd4**********,113.920651,22.584787,"	2021-08-31 01:16:14.0"
-,113.8885571,"	2021-08-31 01:11:42.0",22.5611686,06704ea85c14986a78abe4**********,113.8842276,22.56681431,"	2021-08-31 01:16:02.0"
-,113.8343484,"	2021-08-31 01:11:40.0",22.6330653,fcd032284a5fa40ee7ab0a**********,113.8383867,22.63706971,"	2021-08-31 01:15:20.0"
-,113.8628402,"	2021-08-31 01:11:39.0",22.7791062,ba6e5a7c4aea5ecc21acd7**********,113.859033,22.77864739,"	2021-08-31 01:17:15.0"
